text,chapter,count_e,word_count
drawing-room; where she was welcomed by her two friends with many,,7,12
professions of pleasure; and Elizabeth had never seen them so agreeable,,13,11
as they were during the hour which passed before the gentlemen appeared.,,13,12
Their powers of conversation were considerable. They could describe an,,10,10
"entertainment with accuracy, relate an anecdote with humour, and laugh",,7,10
at their acquaintance with spirit.,,2,5
"But when the gentlemen entered, Jane was no longer the first object.",,12,12
"Miss Bingley's eyes were instantly turned towards Darcy, and she had",,7,12
"In consequence of an agreement between the sisters, Elizabeth wrote the",,15,11
"next morning to her mother, to beg that the carriage might be sent for",,8,14
"them in the course of the day. But Mrs. Bennet, who had calculated on",,7,14
"her daughters remaining at Netherfield till the following Tuesday, which",,8,10
"would exactly finish Jane's week, could not bring herself to receive",,9,12
"them with pleasure before. Her answer, therefore, was not propitious, at",,10,11
"least not to Elizabeth's wishes, for she was impatient to get home. Mrs.",,8,14
Bennet sent them word that they could not possibly have the carriage,,8,12
"before Tuesday; and in her postscript it was added, that if Mr. Bingley",,6,13
"and his sister pressed them to stay longer, she could spare them very",,9,13
"""I hope, my dear,"" said Mr. Bennet to his wife, as they were at",,8,14
"breakfast the next morning, ""that you have ordered a good dinner to-day,",,7,13
"because I have reason to expect an addition to our family party.""",,6,12
"""Who do you mean, my dear? I know of nobody that is coming I am sure,",,3,16
"unless Charlotte Lucas should happen to call in, and I hope _my_ dinners",,5,13
"are good enough for her. I do not believe she often sees such at home.""",,11,15
"""The person of whom I speak, is a gentleman and a stranger."" Mrs.",,6,13
"Bennet's eyes sparkled.--""A gentleman and a stranger! It is Mr. Bingley",,9,13
I am sure. Why Jane--you never dropt a word of this; you sly thing!,,4,15
"Well, I am sure I shall be extremely glad to see Mr. Bingley.--But--good",,9,15
"During dinner, Mr. Bennet scarcely spoke at all; but when the servants",,8,12
"were withdrawn, he thought it time to have some conversation with his",,7,12
"guest, and therefore started a subject in which he expected him to",,10,12
"shine, by observing that he seemed very fortunate in his patroness. Lady",,9,12
"Catherine de Bourgh's attention to his wishes, and consideration for his",,6,12
"comfort, appeared very remarkable. Mr. Bennet could not have chosen",,9,10
better. Mr. Collins was eloquent in her praise. The subject elevated him,,11,12
"to more than usual solemnity of manner, and with a most important aspect",,4,13
he protested that he had never in his life witnessed such behaviour in a,,10,14
"person of rank--such affability and condescension, as he had himself",,5,11
"Mr. Collins was not a sensible man, and the deficiency of nature had",,6,13
been but little assisted by education or society; the greatest part of,,9,12
his life having been spent under the guidance of an illiterate and,,9,12
"miserly father; and though he belonged to one of the universities, he",,10,12
"had merely kept the necessary terms, without forming at it any useful",,8,12
"acquaintance. The subjection in which his father had brought him up, had",,4,12
"given him originally great humility of manner, but it was now a good",,3,13
"deal counteracted by the self-conceit of a weak head, living in",,8,12
"retirement, and the consequential feelings of early and unexpected",,12,9
prosperity. A fortunate chance had recommended him to Lady Catherine de,,9,11
As no objection was made to the young people's engagement with their,,9,13
"aunt, and all Mr. Collins's scruples of leaving Mr. and Mrs. Bennet for",,4,14
"a single evening during his visit were most steadily resisted, the coach",,9,12
conveyed him and his five cousins at a suitable hour to Meryton; and the,,6,14
"girls had the pleasure of hearing, as they entered the drawing-room,",,9,12
"that Mr. Wickham had accepted their uncle's invitation, and was then in",,5,13
the house.,,2,2
"When this information was given, and they had all taken their seats, Mr.",,6,13
"Collins was at leisure to look around him and admire, and he was so much",,4,15
"struck with the size and furniture of the apartment, that he declared he",,9,13
"Elizabeth related to Jane the next day, what had passed between Mr.",,11,12
Wickham and herself. Jane listened with astonishment and concern;--she,,8,10
knew not how to believe that Mr. Darcy could be so unworthy of Mr.,,5,14
"Bingley's regard; and yet, it was not in her nature to question the",,7,14
veracity of a young man of such amiable appearance as Wickham.--The,,5,12
"possibility of his having really endured such unkindness, was enough to",,5,11
interest all her tender feelings; and nothing therefore remained to be,,13,11
"done, but to think well of them both, to defend the conduct of each, and",,7,15
"throw into the account of accident or mistake, whatever could not be",,6,12
otherwise explained.,,4,2
Till Elizabeth entered the drawing-room at Netherfield and looked in,,10,11
"vain for Mr. Wickham among the cluster of red coats there assembled, a",,7,13
doubt of his being present had never occurred to her. The certainty of,,9,13
meeting him had not been checked by any of those recollections that,,9,12
might not unreasonably have alarmed her. She had dressed with more than,,8,12
"usual care, and prepared in the highest spirits for the conquest of all",,7,13
"that remained unsubdued of his heart, trusting that it was not more than",,5,13
might be won in the course of the evening. But in an instant arose the,,8,15
dreadful suspicion of his being purposely omitted for Mr. Darcy's,,4,11
pleasure in the Bingleys' invitation to the officers; and though this,,6,11
The next day opened a new scene at Longbourn. Mr. Collins made his,,8,13
"declaration in form. Having resolved to do it without loss of time, as",,4,13
"his leave of absence extended only to the following Saturday, and having",,8,12
no feelings of diffidence to make it distressing to himself even at the,,10,13
"moment, he set about it in a very orderly manner, with all the",,7,13
observances which he supposed a regular part of the business. On finding,,7,12
"Mrs. Bennet, Elizabeth, and one of the younger girls together, soon",,9,11
"after breakfast, he addressed the mother in these words,",,9,9
"""May I hope, Madam, for your interest with your fair daughter Elizabeth,",,6,12
when I solicit for the honour of a private audience with her in the,,7,14
Mr. Collins was not left long to the silent contemplation of his,,4,12
"successful love; for Mrs. Bennet, having dawdled about in the vestibule",,8,11
"to watch for the end of the conference, no sooner saw Elizabeth open the",,11,14
"door and with quick step pass her towards the staircase, than she",,5,12
"entered the breakfast-room, and congratulated both him and herself in",,8,11
warm terms on the happy prospect of their nearer connection. Mr. Collins,,7,12
"received and returned these felicitations with equal pleasure, and then",,12,10
"proceeded to relate the particulars of their interview, with the result",,11,11
"of which he trusted he had every reason to be satisfied, since the",,10,13
refusal which his cousin had steadfastly given him would naturally flow,,3,11
"The discussion of Mr. Collins's offer was now nearly at an end, and",,4,14
Elizabeth had only to suffer from the uncomfortable feelings necessarily,,9,10
"attending it, and occasionally from some peevish allusion of her mother.",,6,11
"As for the gentleman himself, _his_ feelings were chiefly expressed, not",,12,11
"by embarrassment or dejection, or by trying to avoid her, but by",,5,12
stiffness of manner and resentful silence. He scarcely ever spoke to,,11,11
"her, and the assiduous attentions which he had been so sensible of",,8,12
"himself, were transferred for the rest of the day to Miss Lucas, whose",,9,13
"civility in listening to him, was a seasonable relief to them all, and",,6,13
especially to her friend.,,4,4
"The Bennets were engaged to dine with the Lucases, and again during the",,11,13
"chief of the day, was Miss Lucas so kind as to listen to Mr. Collins.",,3,15
"Elizabeth took an opportunity of thanking her. ""It keeps him in good",,5,12
"humour,"" said she, ""and I am more obliged to you than I can express.""",,5,14
"Charlotte assured her friend of her satisfaction in being useful, and",,7,11
that it amply repaid her for the little sacrifice of her time. This was,,7,14
"very amiable, but Charlotte's kindness extended farther than Elizabeth",,10,10
"had any conception of;--its object was nothing less, than to secure her",,6,13
"from any return of Mr. Collins's addresses, by engaging them towards",,5,12
herself. Such was Miss Lucas's scheme; and appearances were so,,8,11
"Elizabeth was sitting with her mother and sisters, reflecting on what",,7,11
"she had heard, and doubting whether she were authorised to mention it,",,9,12
"when Sir William Lucas himself appeared, sent by his daughter to",,6,11
"announce her engagement to the family. With many compliments to them,",,8,11
and much self-gratulation on the prospect of a connection between the,,8,12
"houses, he unfolded the matter,--to an audience not merely wondering,",,10,11
"but incredulous; for Mrs. Bennet, with more perseverance than",,8,9
"politeness, protested he must be entirely mistaken, and Lydia, always",,9,10
"unguarded and often uncivil, boisterously exclaimed,",,5,6
"""Good Lord! Sir William, how can you tell such a story?--Do not you know",,1,15
